game_id,play_id,nfl_id,frame_id,x,y
2023100900,181,47974,1,61.56,17.3
2023100900,181,47974,2,61.61,16.73
2023100900,181,47974,3,61.67,16.14
2023100900,181,47974,4,61.75,15.53
2023100900,181,47974,5,61.83,14.88
2023100900,181,47974,6,61.92,14.22
2023100900,181,47974,7,62.0,13.54
2023100900,181,47974,8,62.08,12.86
2023100900,181,47974,9,62.15,12.17
2023100900,181,47974,10,62.24,11.48
2023100900,181,42361,1,65.59,11.57
2023100900,181,42361,2,65.49,11.07
2023100900,181,42361,3,65.34,10.55
2023100900,181,42361,4,65.15,9.99
2023100900,181,42361,5,64.94,9.42
2023100900,181,42361,6,64.7,8.82
2023100900,181,42361,7,64.42,8.2
2023100900,181,42361,8,64.13,7.56
2023100900,181,42361,9,63.82,6.9
2023100900,181,42361,10,63.51,6.23
2023100900,181,54499,1,61.18,11.79
2023100900,181,54499,2,61.43,11.18
2023100900,181,54499,3,61.62,10.54
2023100900,181,54499,4,61.75,9.88
2023100900,181,54499,5,61.83,9.2
2023100900,181,54499,6,61.86,8.5
2023100900,181,54499,7,61.85,7.8
2023100900,181,54499,8,61.82,7.08
2023100900,181,54499,9,61.78,6.36
2023100900,181,54499,10,61.74,5.64
2023100900,228,53509,1,77.91,25.4
2023100900,228,53509,2,78.56,25.27
2023100900,228,53509,3,79.22,25.17
2023100900,228,53509,4,79.89,25.08
2023100900,228,53509,5,80.55,25.02
2023100900,228,53509,6,81.22,24.99
2023100900,228,53509,7,81.87,24.99
2023100900,228,53509,8,82.51,25.03
2023100900,228,53509,9,83.14,25.1
2023100900,228,53509,10,83.74,25.21
2023100900,228,53509,11,84.31,25.36
2023100900,228,53509,12,84.85,25.56
2023100900,228,53509,13,85.35,25.81
2023100900,228,53509,14,85.82,26.09
2023100900,228,53509,15,86.26,26.4
2023100900,228,53509,16,86.68,26.74
2023100900,228,53509,17,87.07,27.11
2023100900,228,53509,18,87.46,27.49
2023100900,228,53509,19,87.84,27.88
2023100900,228,47974,1,86.18,19.49
2023100900,228,47974,2,86.61,19.66
2023100900,228,47974,3,87.03,19.87
2023100900,228,47974,4,87.44,20.14
2023100900,228,47974,5,87.85,20.47
2023100900,228,47974,6,88.25,20.85
2023100900,228,47974,7,88.64,21.28
2023100900,228,47974,8,89.02,21.77
2023100900,228,47974,9,89.4,22.3
2023100900,228,47974,10,89.78,22.87
