game_id,play_id,sep_at_throw,sep_at_arrival,raw_sep_gain,abs_yardline,rec_position,rec_speed,rec_accel,rec_orient,rec_dir,rec_x,rec_y,def_avg_speed,def_avg_x,def_count,down,yards_to_go,defenders_in_the_box,pass_length,pre_snap_home_score,pre_snap_visitor_score,quarter,play_action,pass_location_type_OUTSIDE_LEFT,pass_location_type_OUTSIDE_RIGHT,pass_location_type_UNKNOWN,dropback_type_DESIGNED_ROLLOUT_RIGHT,dropback_type_SCRAMBLE,dropback_type_SCRAMBLE_ROLLOUT_LEFT,dropback_type_SCRAMBLE_ROLLOUT_RIGHT,dropback_type_TRADITIONAL,offense_formation_I_FORM,offense_formation_JUMBO,offense_formation_PISTOL,offense_formation_SHOTGUN,offense_formation_SINGLEBACK,offense_formation_WILDCAT,receiver_alignment_2x1,receiver_alignment_2x2,receiver_alignment_3x0,receiver_alignment_3x1,receiver_alignment_3x2,receiver_alignment_3x3,receiver_alignment_4x0,receiver_alignment_4x1,dropback_type_1_DESIGNED_ROLLOUT_RIGHT,dropback_type_1_SCRAMBLE,dropback_type_1_SCRAMBLE_ROLLOUT_LEFT,dropback_type_1_SCRAMBLE_ROLLOUT_RIGHT,dropback_type_1_TRADITIONAL,team_coverage_man_zone_ZONE_COVERAGE,expected_separation,wos,player_name,time_to_throw,route_of_targeted_receiver_CORNER,route_of_targeted_receiver_CROSS,route_of_targeted_receiver_FLAT,route_of_targeted_receiver_GO,route_of_targeted_receiver_HITCH,route_of_targeted_receiver_IN,route_of_targeted_receiver_OUT,route_of_targeted_receiver_POST,route_of_targeted_receiver_SCREEN,route_of_targeted_receiver_SLANT,route_of_targeted_receiver_WHEEL,exp_sep_xgb,wos_advanced
2023090700,1001,7.32461603089199,6.229285673333657,-1.0953303575583329,109.0,WR,2.64,3.97,70.38,43.94,108.03,30.68,1.5757142857142856,111.23714285714287,7,3,1,8,1,0,7,2,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2.093012210101121,4.136273463232536,Rashee Rice,3.8,False,False,False,False,True,False,False,False,False,False,False,2.6643684,3.56491728229667
2023090700,101,4.4732985592289705,2.47814446713665,-1.9951540920923203,42.0,WR,3.06,5.15,86.39,66.61,41.79,12.53,1.224,47.75,5,3,3,6,22,0,0,1,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,2.8711680134575186,-0.39302354632086844,Josh Reynolds,2.6,True,False,False,False,False,False,False,False,False,False,False,3.6155295,-1.1373850700642776
2023090700,1154,10.441934686637337,5.604221623026699,-4.8377130636106385,71.0,WR,3.92,4.77,256.39,260.42,70.37,32.33,2.6042857142857145,65.31285714285715,7,2,7,8,21,7,7,2,1.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,3.540787836666147,2.0634337863605516,Amon-Ra St. Brown,3.3,False,True,False,False,False,False,False,False,False,False,False,4.476013,1.1282084394329486
2023090700,1494,0.9160785992479026,1.2731849826321389,0.3571063833842363,64.0,WR,3.19,3.88,275.51,291.42,63.81,10.59,1.3333333333333333,58.20333333333334,6,2,5,6,24,7,7,2,1.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,3.3507853179718885,-2.0776003353397496,Marvin Jones,3.0,False,False,False,False,False,True,False,False,False,False,False,3.1798372,-1.906652244235537
2023090700,1563,3.0633968074671616,3.153299858877996,0.08990305141083432,28.0,WR,3.41,5.43,82.16,105.74,28.06,31.53,1.4371428571428575,35.40714285714286,7,1,10,6,10,7,7,2,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,3.6059201667921377,-0.45262030791414176,Rashee Rice,4.5,False,False,False,False,True,False,False,False,False,False,False,3.1404428,0.012857010672429503
2023090700,1588,0.9476286192385681,1.151694403911038,0.20406578467246983,53.0,WR,3.49,5.65,95.55,87.88,52.46,39.02,1.1814285714285713,59.25714285714285,7,1,10,6,38,7,7,2,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,2.3980917352320845,-1.2463973313210466,Richie James,3.0,False,False,False,False,False,False,False,True,False,False,False,2.4754145,-1.323720110630588
2023090700,1618,4.936598018878994,3.524102722679912,-1.4124952961990824,53.0,WR,2.24,4.24,85.34,81.42,52.4,37.82,1.342857142857143,59.708571428571425,7,2,10,6,3,7,7,2,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,3.3980149913638797,0.12608773131603224,Rashee Rice,2.2,False,False,False,False,False,True,False,False,False,False,False,3.1010509,0.42305186895066393
2023090700,1679,4.851360633884065,5.021085540000294,0.1697249061162287,46.0,WR,3.73,5.6,91.73,83.2,46.11,20.71,1.8714285714285714,54.125714285714274,7,3,17,6,33,7,7,2,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,2.763772483446706,2.2573130565535875,Marquez Valdes-Scantling,3.1,False,False,False,True,False,False,False,False,False,False,False,2.5939662,2.4271192943490485
2023090700,1711,4.031786204649251,7.201388754955535,3.1696025503062843,80.0,WR,3.88,3.96,109.54,116.38,80.29,43.53,2.1128571428571425,87.46714285714286,7,1,10,5,23,7,7,2,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,3.0762951310710975,4.125093623884437,Justin Watson,2.6,True,False,False,False,False,False,False,False,False,False,False,4.4162316,2.785157122722869
2023090700,1869,3.7391576591526596,3.7282837874818555,-0.010873871670804114,76.0,WR,3.1,4.68,264.62,272.72,77.29,35.57,0.685,69.51375,8,3,1,4,6,14,7,2,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.7150361332744404,2.013247654207415,Josh Reynolds,2.8,False,False,False,False,True,False,False,False,False,False,False,2.3584354,1.3698483951020948
